"scenario","ID","LID","coor","timeper","rcp","absorp","ww","ttl","h_active","perc_active","h_bask","perc_bask","act_bask_ratio","ndays","nyears","T_loc","T_ref","RH_loc","RH_ref","change_act","change_bask","perc_change_act","perc_change_bask","change_T_loc","change_RH_loc","perc_T_loc","perc_RH_loc"
"2040_2059_RCP45","133","ELB","18.367115, -32.33073","40-59","4.5",0.90532577531119,34.16,212,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,2,-2,1.02857142857143,0.972972972972973,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","28","ELB","18.367115, -32.33073","40-59","4.5",0.861137286787838,46.85,227,69,0.239583333333333,75,0.260416666666667,0.92,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,-1,1,0.985714285714286,1.01351351351351,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","32","ELB","18.367115, -32.33073","40-59","4.5",0.856244460279514,51.86,233,69,0.239583333333333,75,0.260416666666667,0.92,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,-1,1,0.985714285714286,1.01351351351351,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","33","ELB","18.367115, -32.33073","40-59","4.5",0.881059832685117,58.36,255,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,0,0,1,1,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","34","ELB","18.367115, -32.33073","40-59","4.5",0.885625279964774,39.61,245,70,0.243055555555556,74,0.256944444444444,0.945945945945946,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,0,0,1,1,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","36","ELB","18.367115, -32.33073","40-59","4.5",0.871889823001715,57.82,243,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,2,-2,1.02857142857143,0.972972972972973,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","41","ELB","18.367115, -32.33073","40-59","4.5",0.855408548713634,40.43,235,66,0.229166666666667,78,0.270833333333333,0.846153846153846,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,-2,2,0.970588235294118,1.02631578947368,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","12","JAB","17.87886, -32.98373","40-59","4.5",0.914567840428325,25.41,201,61,0.211805555555556,83,0.288194444444444,0.734939759036145,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.41860465116279,0.821782178217822,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","138","JAB","17.87886, -32.98373","40-59","4.5",0.945268897492692,35.16,220,67,0.232638888888889,77,0.267361111111111,0.87012987012987,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.36734693877551,0.810526315789474,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","139","JAB","17.87886, -32.98373","40-59","4.5",0.946690693561011,42.1,235,68,0.236111111111111,76,0.263888888888889,0.894736842105263,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,19,-19,1.38775510204082,0.8,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","148","JAB","17.87886, -32.98373","40-59","4.5",0.953690212582014,26.97,193,65,0.225694444444444,79,0.274305555555556,0.822784810126582,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,17,-17,1.35416666666667,0.822916666666667,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","15","JAB","17.87886, -32.98373","40-59","4.5",0.925677642897908,29.26,218,65,0.225694444444444,79,0.274305555555556,0.822784810126582,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,20,-20,1.44444444444444,0.797979797979798,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","150","JAB","17.87886, -32.98373","40-59","4.5",0.940046381026213,37.27,220,67,0.232638888888889,77,0.267361111111111,0.87012987012987,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.36734693877551,0.810526315789474,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","151","JAB","17.87886, -32.98373","40-59","4.5",0.93729883595477,37.03,213,67,0.232638888888889,77,0.267361111111111,0.87012987012987,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.36734693877551,0.810526315789474,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","152","JAB","17.87886, -32.98373","40-59","4.5",0.908721790669937,44.22,200,65,0.225694444444444,79,0.274305555555556,0.822784810126582,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,16,-16,1.3265306122449,0.831578947368421,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","153","JAB","17.87886, -32.98373","40-59","4.5",0.937197221520795,23.75,220,63,0.21875,81,0.28125,0.777777777777778,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.4,0.818181818181818,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","154","JAB","17.87886, -32.98373","40-59","4.5",0.937393226285098,30.96,222,65,0.225694444444444,79,0.274305555555556,0.822784810126582,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.38297872340426,0.814432989690722,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","155","JAB","17.87886, -32.98373","40-59","4.5",0.948119196619738,37.6,140,68,0.236111111111111,76,0.263888888888889,0.894736842105263,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,20,-20,1.41666666666667,0.791666666666667,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","156","JAB","17.87886, -32.98373","40-59","4.5",0.939354306780322,29.96,200,65,0.225694444444444,79,0.274305555555556,0.822784810126582,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.38297872340426,0.814432989690722,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","19","JAB","17.87886, -32.98373","40-59","4.5",0.925204803339221,11.49,150,60,0.208333333333333,84,0.291666666666667,0.714285714285714,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,19,-19,1.46341463414634,0.815533980582524,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","21","JAB","17.87886, -32.98373","40-59","4.5",0.924673691387288,35.1,227,65,0.225694444444444,79,0.274305555555556,0.822784810126582,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.38297872340426,0.814432989690722,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","23","JAB","17.87886, -32.98373","40-59","4.5",0.910839883817645,28.42,220,61,0.211805555555556,83,0.288194444444444,0.734939759036145,12,1,19.5607577418814,17.9787364713919,68.4061477999546,74.2729417360051,18,-18,1.41860465116279,0.821782178217822,3.20128612881076,0.111634853717121,1.19568395633591,1.00163460941298
"2040_2059_RCP45","255","LHO","25.6390895, -28.631946","40-59","4.5",0.931029938967727,17.21,165,81,0.28125,55,0.190972222222222,1.47272727272727,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,-2,7,0.975903614457831,1.14583333333333,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","256","LHO","25.6390895, -28.631946","40-59","4.5",0.89706318188918,20.84,215,81,0.28125,55,0.190972222222222,1.47272727272727,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,0,5,1,1.1,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","258","LHO","25.6390895, -28.631946","40-59","4.5",0.91537433602504,25.51,190,82,0.284722222222222,54,0.1875,1.51851851851852,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,-2,7,0.976190476190476,1.14893617021277,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","259","LHO","25.6390895, -28.631946","40-59","4.5",0.927723632218493,26.38,212,82,0.284722222222222,54,0.1875,1.51851851851852,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,-2,7,0.976190476190476,1.14893617021277,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","261","LHO","25.6390895, -28.631946","40-59","4.5",0.898349063414607,15.3,183,81,0.28125,55,0.190972222222222,1.47272727272727,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,2,3,1.0253164556962,1.05769230769231,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","262","LHO","25.6390895, -28.631946","40-59","4.5",0.916246426013149,19.51,215,82,0.284722222222222,54,0.1875,1.51851851851852,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,-1,6,0.987951807228916,1.125,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","269","LHO","25.6390895, -28.631946","40-59","4.5",0.901353682599406,16.38,130,81,0.28125,55,0.190972222222222,1.47272727272727,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,1,4,1.0125,1.07843137254902,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","270","LHO","25.6390895, -28.631946","40-59","4.5",0.907311130027434,17.27,175,80,0.277777777777778,56,0.194444444444444,1.42857142857143,12,1,18.6408180129025,15.2717976640508,49.0179648293504,57.8863074127146,-1,6,0.987654320987654,1.12,0.905949961532681,0.546689292543334,1.05108298290738,1.01127862401987
"2040_2059_RCP45","70","STE","17.76673, -29.29445","40-59","4.5",0.878952551518295,28.26,217,113,0.392361111111111,31,0.107638888888889,3.64516129032258,12,1,23.595321032141,19.7595654314486,45.0285419335776,54.2246947211198,26,-21,1.29885057471264,0.596153846153846,4.06164367768915,0.0577957211179196,1.20793031460425,1.00128518483649
"2040_2059_RCP45","71","STE","17.76673, -29.29445","40-59","4.5",0.860290711892574,35.64,240,113,0.392361111111111,31,0.107638888888889,3.64516129032258,12,1,23.595321032141,19.7595654314486,45.0285419335776,54.2246947211198,26,-21,1.29885057471264,0.596153846153846,4.06164367768915,0.0577957211179196,1.20793031460425,1.00128518483649
"2040_2059_RCP45","72","STE","17.76673, -29.29445","40-59","4.5",0.836607169301981,33.81,242,113,0.392361111111111,31,0.107638888888889,3.64516129032258,12,1,23.595321032141,19.7595654314486,45.0285419335776,54.2246947211198,25,-20,1.28409090909091,0.607843137254902,4.06164367768915,0.0577957211179196,1.20793031460425,1.00128518483649
"2040_2059_RCP45","73","STE","17.76673, -29.29445","40-59","4.5",0.856715448251354,29.47,192,113,0.392361111111111,31,0.107638888888889,3.64516129032258,12,1,23.595321032141,19.7595654314486,45.0285419335776,54.2246947211198,25,-20,1.28409090909091,0.607843137254902,4.06164367768915,0.0577957211179196,1.20793031460425,1.00128518483649
"2040_2059_RCP45","74","STE","17.76673, -29.29445","40-59","4.5",0.859836405593628,40.14,228,113,0.392361111111111,31,0.107638888888889,3.64516129032258,12,1,23.595321032141,19.7595654314486,45.0285419335776,54.2246947211198,25,-20,1.28409090909091,0.607843137254902,4.06164367768915,0.0577957211179196,1.20793031460425,1.00128518483649
"2040_2059_RCP45","75","STE","17.76673, -29.29445","40-59","4.5",0.87068857239463,30.86,197,113,0.392361111111111,31,0.107638888888889,3.64516129032258,12,1,23.595321032141,19.7595654314486,45.0285419335776,54.2246947211198,25,-20,1.28409090909091,0.607843137254902,4.06164367768915,0.0577957211179196,1.20793031460425,1.00128518483649
